elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,valid_points,detected_vehicle_count,right_vehicle,is_near,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000014,1785203647.032741070,idle,0,0,0,press_SPACE_to_start,50,0,0,1,1,-1.406250,1.796875,0.195312,13880.000000,15246.250000,,,,,,,
1.031956,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.115273,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.197421,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.281290,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.332306,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.383324,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.468518,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.554476,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.638838,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.723801,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.810740,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.900216,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.989580,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.079586,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.168389,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.253885,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.340047,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.426789,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.511183,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.595357,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.680521,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.766337,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.852405,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.938435,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.024112,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.112224,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.201964,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.291772,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.381457,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.470262,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.557022,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.639789,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.726166,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.807454,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.891657,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
3.977432,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.062872,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.148372,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.233091,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.318363,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.403903,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.489534,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.572680,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.656721,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.741712,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
4.827398,1785203651.852365971,idle,0,0,0,press_SPACE_to_start,34,0,0,1,1,-2.156250,2.671875,0.257812,13927.500000,15436.000000,,,,,,,
4.913761,1785203651.852365971,idle,0,0,0,press_SPACE_to_start,34,0,0,1,1,-2.156250,2.671875,0.257812,13927.500000,15436.000000,,,,,,,
4.999709,1785203651.967420816,idle,0,0,0,press_SPACE_to_start,47,0,0,1,1,-1.687500,1.546875,-0.070312,13725.750000,15428.750000,,,,,,,
5.085643,1785203652.081696987,idle,0,0,0,press_SPACE_to_start,48,0,0,1,1,-1.484375,1.750000,0.132812,13896.500000,15319.500000,,,,,,,
5.171445,1785203652.196570873,idle,0,0,0,press_SPACE_to_start,51,0,0,1,1,-1.578125,1.656250,0.039062,13795.750000,15332.500000,,,,,,,
5.257246,1785203652.196570873,idle,0,0,0,press_SPACE_to_start,51,0,0,1,1,-1.578125,1.656250,0.039062,13795.750000,15332.500000,,,,,,,
5.343081,1785203652.310857058,idle,0,0,0,press_SPACE_to_start,49,0,1,1,1,-1.562500,1.656250,0.046875,13811.000000,15332.500000,,,,,,444.000000,
5.428851,1785203652.426128864,idle,0,0,0,press_SPACE_to_start,51,0,1,1,1,-1.421875,1.796875,0.187500,13920.750000,15281.750000,,,,,,486.250000,
5.515407,1785203652.540288925,idle,0,0,0,press_SPACE_to_start,49,0,0,1,1,-1.390625,1.843750,0.226562,13767.250000,15384.500000,,,,,,,
5.601587,1785203652.540288925,idle,0,0,0,press_SPACE_to_start,49,0,0,1,1,-1.390625,1.843750,0.226562,13767.250000,15384.500000,,,,,,,
5.686926,1785203652.654804945,idle,0,0,0,press_SPACE_to_start,54,0,1,1,1,-1.031250,2.187500,0.578125,13860.250000,15347.750000,,,,,,731.750000,
5.773327,1785203652.769578934,idle,0,0,0,press_SPACE_to_start,52,0,0,1,1,-2.265625,2.562500,0.148438,13902.250000,15450.500000,,,,,,,
5.859557,1785203652.884611130,idle,0,0,0,press_SPACE_to_start,44,0,0,1,1,-1.718750,3.093750,0.687500,13857.250000,15403.500000,,,,,,,
5.946269,1785203652.884611130,idle,0,0,0,press_SPACE_to_start,44,0,0,1,1,-1.718750,3.093750,0.687500,13857.250000,15403.500000,,,,,,,
6.031949,1785203652.998548985,idle,0,0,0,press_SPACE_to_start,49,0,0,1,1,-1.453125,1.765625,0.156250,13954.000000,15290.750000,,,,,,,
6.118322,1785203653.114430904,idle,0,0,0,press_SPACE_to_start,51,0,1,1,1,-1.234375,3.578125,1.171875,13784.250000,15421.000000,,,,,,592.750000,
6.204092,1785203653.227689981,idle,0,0,0,press_SPACE_to_start,49,0,1,1,1,-0.812500,2.421875,0.804688,13879.500000,15325.500000,,,,,,584.750000,
